,Ticker,Date,Asset Turnover,Current Ratio,Debt/Assets,Debt/Equity,Dividend Coverage Ratio,Dividend Payout Ratio,EBITDA Margin,EBITDA Y/Y,EPS Y/Y,EV/EBITDA,EV/FCF,EV/Revenue,Earnings Retention Rate,FCF Yield,Gross Profit Margin,Interest Coverage Ratio,Net Profit Margin,Operating Profit Y/Y,PE,PEG,Price/Book,Price/Sales,Quick Ratio,ROA,ROE,ROIC,Reinvestment Rate,Revenue Y/Y,Working Capital/Assets
0,A,2016-10-31,0.550252078831926,3.84656,24.42905,44.8422,308.0,32.4675324675325,21.48977,0.099,0.173,15.2286199062569,27.284610665377,3.2725949013208,0.675324675324675,4.56240978950827,52.35602,9.11111,10.99476,0.155,25.6891011467822,1.79202174008618,3.32705136350308,3.41135887672537,3.28254,6.04989196621489,10.986920332937,8.73732039788777,7.41973840665874,0.041,0.34514
1,A,2017-10-31,0.551418002466091,3.30087,23.8666,41.59255,402.352941176471,24.8538011695906,23.07692,0.143,0.494,20.5726347326453,39.0993720885635,4.74753109214893,0.751461988304094,3.21492953758221,53.62254,10.35443,15.29517,0.247,30.8024576766172,0.656164160234319,4.53439320247602,4.95925313059034,2.84561,8.43403205918619,15.076041437073,11.561906010356,11.3290720740577,0.064,0.34488
2,A,2018-10-31,0.579242058112807,3.28608,21.06311,39.35681,454.450261780105,22.0046082949309,23.30077,0.109,0.273,17.6498506114673,28.1072029904451,4.11255167890313,0.779953917050691,4.32165457632351,54.61945,12.44,17.66382,0.141,22.1883561643836,0.888896437567452,4.51132321935378,4.28505291005291,2.74125,10.2316260977191,18.472015322409,5.82348770661743,14.4073207065333,0.099,0.31343
3,A,2019-10-31,0.573889846051242,1.53317,25.46551,50.69503,519.902912621359,19.234360410831,23.93957,0.079,0.261,19.7954503305016,37.1277338520486,4.73894569213635,0.80765639589169,3.59092513024887,54.48383,13.47297,20.74375,0.069,20.140866416202,0.861650467201575,4.92981120287393,4.66560139453806,1.20673,11.9046295781693,22.9951690821256,17.1125972738189,18.5721953837896,0.051,0.11733
4,A,2020-10-31,0.559672938833272,2.32788,24.504,48.4096,323.873873873874,30.8762169680111,21.8393,-0.057,-0.316,27.7815871673671,55.8505700640517,6.06730298504402,0.691237830319889,2.5178889416327,53.13729,11.0,13.46694,-0.139,33.3529354111536,-1.40301151345929,6.41073944855961,5.96592620340888,1.83708,7.53708265632371,14.9464712607837,10.9210495685353,10.3315663652427,0.034,0.20235
5,AAPL,2016-09-24,0.704666920466447,1.35267,27.05495,67.86174,381.838696197242,26.1890691006194,32.70698,-0.145,-0.099,8.89291512044691,15.1693813464097,2.90860378006761,0.738109308993806,8.62942982058081,39.07596,41.22527,21.1868,-0.157,13.5691858729257,-1.37350155825482,4.68962200090539,2.87488196249287,1.32568,14.9296359171349,36.9032810455405,23.4461687433099,27.2386552721281,-0.077,0.08662
6,AAPL,2017-09-30,0.657768595634178,1.27606,30.82178,86.29809,384.868263949694,25.9829165891088,31.19127,0.014,0.108,11.7140171376624,21.4732454649404,3.65375092420845,0.740170834108912,6.39666300289966,38.46986,26.40723,21.09242,0.022,16.7398737449439,1.54420892102864,5.89382547974332,3.53084957309998,1.2279,13.8739320377903,36.8675084637204,21.5495445493528,27.2882544911093,0.063,0.07415
7,AAPL,2018-09-29,0.716813036742758,1.13293,31.30303,106.84667,444.346559883509,22.5049564975177,30.79915,0.144,0.326,13.9177943453014,22.5850442428931,4.28656222910823,0.774950435024823,5.68083655467991,38.34372,21.8821,22.97897,0.156,18.4943044031093,0.567734372312149,10.0179287819079,4.24979613946046,1.0988,16.4716265161043,50.6073948771528,26.4102908277273,39.2182226755226,0.159,0.04214
8,AAPL,2019-09-28,0.73887774213657,1.54013,31.91784,119.40478,391.082171420483,25.5700738381352,29.39456,-0.065,-0.026,13.0284525752841,22.2519813207674,3.82965618240101,0.744299261618648,5.78958410858217,37.81777,17.87752,21.23809,-0.098,18.4102037725689,-7.01966370210153,10.7447155365778,3.90998002359959,1.50129,15.6923553158649,55.9172211399803,27.7328422861878,41.619146406254,-0.02,0.16868
9,AAPL,2020-09-26,0.828844632580721,1.3636,34.91855,173.09264,407.545964364308,24.5371096131403,28.17478,0.011,0.102,25.1141231650807,32.7647719802982,7.07584919614593,0.754628903868597,3.72776778666366,38.23325,23.07275,20.91361,0.037,34.2803059215046,3.35183333433546,29.173259750619,7.16925438653626,1.32507,17.3341344557098,73.6855615522342,31.7634400668828,55.6052545451045,0.055,0.11832
10,ABT,2015-12-31,0.494942634681156,1.54093,20.75787,40.14818,178.005464480874,56.1780506523408,21.72997,0.029,0.52,15.6845151792535,21.3787704595174,3.40824015215927,0.438219493476593,6.94320617034571,54.27591,18.17178,12.77138,0.072,25.0405633708579,0.50371058717639,3.11807008749481,3.31460230335702,1.258,6.32110024983627,12.1955214451178,15.4686722203422,5.34431523036245,0.008,0.12047
11,ABT,2016-12-31,0.444091872264756,4.02042,40.92204,104.03051,68.7136393018746,145.531514581373,21.15283,-0.005,-0.582,13.4906843750691,104.766564750757,2.8536617646588,-0.455315145813735,3.69895525141924,53.79562,7.09513,5.09759,0.032,52.4032361488192,-0.92123299708413,2.75454830356112,2.73159881072268,3.65495,2.26379734435062,5.09233754101895,4.77913807531488,-2.3186184100218,0.022,0.38195
